Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MTP_22.11_11-20,Chrome 110.0.0.0,,,2023-03-09 10:28:34,2023-03-09 10:28:49,14.811s,ERROR
,,,,,,,
Test Cases/Visual_Test_Case_Full_Page - Copy,Chrome 110.0.0.0,,,2023-03-09 10:28:46,2023-03-09 10:28:49,2.768s,ERROR
"openBrowser("""")",Chrome 110.0.0.0,,,2023-03-09 10:28:46,2023-03-09 10:28:49,2.244s,PASSED
maximizeWindow(),Chrome 110.0.0.0,,,2023-03-09 10:28:49,2023-03-09 10:28:49,0.141s,PASSED
"setViewPortSize(1200, 99999)",Chrome 110.0.0.0,,,2023-03-09 10:28:49,2023-03-09 10:28:49,0.247s,PASSED
"td = findTestData(""Data Files/Test_Data"")",Chrome 110.0.0.0,,,2023-03-09 10:28:49,2023-03-09 10:28:49,0.056s,PASSED
"for ([i = 1, i <= rows, (i++)])",Chrome 110.0.0.0,,,2023-03-09 10:28:49,2023-03-09 10:28:49,0.003s,ERROR
