Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MTPAPI,Chrome 114.0.0.0,,,2023-06-21 11:46:25,2023-06-21 11:47:02,36.776s,PASSED
,,,,,,,
Test Cases/MTP_1,Chrome 114.0.0.0,,,2023-06-21 11:46:26,2023-06-21 11:47:02,36.512s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-21 11:46:26,2023-06-21 11:46:30,3.259s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-06-21 11:46:30,2023-06-21 11:46:30,0.176s,PASSED
"setViewPortSize(1200, 99999)",Chrome 114.0.0.0,,,2023-06-21 11:46:30,2023-06-21 11:46:30,0.279s,PASSED
"td = findTestData(""MolecularTargetApI"")",Chrome 114.0.0.0,,,2023-06-21 11:46:30,2023-06-21 11:46:31,0.668s,PASSED
"for ([i = 1, i <= td.getRowNumbers(), (i++)])",Chrome 114.0.0.0,,,2023-06-21 11:46:31,2023-06-21 11:47:02,30.811s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-21 11:47:02,2023-06-21 11:47:02,0.692s,PASSED
